uniprot_acc	uniprot	RefSeqId	Gene	Name
P49750	P49750	56252	YLPM1	YLP motif containing 1
P49754	P49754	27072	VPS41	VPS41, HOPS complex subunit
P49755	P49755	10972	TMED10	transmembrane p24 trafficking protein 10
P49756	P49756	58517	RBM25	RNA binding motif protein 25
P49757	P49757	8650	NUMB	NUMB, endocytic adaptor protein
P49759	P49759	1195	CLK1	CDC like kinase 1
P49760	P49760	1196	CLK2	CDC like kinase 2
P49761	P49761	1198	CLK3	CDC like kinase 3
P49768	P49768	5663	PSEN1	presenilin 1
P49770	P49770	8892	EIF2B2	eukaryotic translation initiation factor 2B subunit beta
P49773	P49773	3094	HINT1	histidine triad nucleotide binding protein 1
P49790	P49790	9972	NUP153	nucleoporin 153
P49792	P49792	5903	RANBP2	RAN binding protein 2
P49795	P49795	10287	RGS19	regulator of G protein signaling 19
P49796	P49796	5998	RGS3	regulator of G protein signaling 3
P49815	P49815	7249	TSC2	TSC complex subunit 2
P49821	P49821	4723	NDUFV1	"NADH:ubiquinone oxidoreductase core subunit V1"
P49840	P49840	2931	GSK3A	glycogen synthase kinase 3 alpha
P49841	P49841	2932	GSK3B	glycogen synthase kinase 3 beta
P49848	P49848	6878	TAF6	TATA-box binding protein associated factor 6
P49902	P49902	22978	NT5C2	5'-nucleotidase, cytosolic II
P49903	P49903	22929	SEPHS1	selenophosphate synthetase 1
P49914	P49914	10588	MTHFS	methenyltetrahydrofolate synthetase
P49915	P49915	8833	GMPS	guanine monophosphate synthase
P49916	P49916	3980	LIG3	DNA ligase 3
P49917	P49917	3981	LIG4	DNA ligase 4
P49959	P49959	4361	MRE11	MRE11 homolog, double strand break repair nuclease
P49961	P49961	953	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1
P50213	P50213	3419	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha
P50238	P50238	1396	CRIP1	cysteine rich protein 1
P50336	P50336	5498	PPOX	protoporphyrinogen oxidase
P50395	P50395	2665	GDI2	GDP dissociation inhibitor 2
P50402	P50402	2010	EMD	emerin
P50416	P50416	1374	CPT1A	carnitine palmitoyltransferase 1A
P50440	P50440	2628	GATM	glycine amidinotransferase
P50452	P50452	5271	SERPINB8	serpin family B member 8
P50453	P50453	5272	SERPINB9	serpin family B member 9
P50454	P50454	871	SERPINH1	serpin family H member 1
P50502	P50502	6767	ST13	ST13, Hsp70 interacting protein
P50542	P50542	5830	PEX5	peroxisomal biogenesis factor 5
P50552	P50552	7408	VASP	vasodilator stimulated phosphoprotein
P50570	P50570	1785	DNM2	dynamin 2
P50579	P50579	10988	METAP2	methionyl aminopeptidase 2
P50583	P50583	318	NUDT2	nudix hydrolase 2
P50613	P50613	1022	CDK7	cyclin dependent kinase 7
P50748	P50748	9735	KNTC1	kinetochore associated 1
P50749	P50749	9770	RASSF2	Ras association domain family member 2
P50750	P50750	1025	CDK9	cyclin dependent kinase 9
P50851	P50851	987	LRBA	LPS responsive beige-like anchor protein
P50897	P50897	5538	PPT1	palmitoyl-protein thioesterase 1
P50914	P50914	9045	RPL14	ribosomal protein L14
P50990	P50990	10694	CCT8	chaperonin containing TCP1 subunit 8
P50991	P50991	10575	CCT4	chaperonin containing TCP1 subunit 4
P50995	P50995	311	ANXA11	annexin A11
P51003	P51003	10914	PAPOLA	poly(A) polymerase alpha
P51114	P51114	8087	FXR1	FMR1 autosomal homolog 1
P51116	P51116	9513	FXR2	FMR1 autosomal homolog 2
P51148	P51148	5878	RAB5C	RAB5C, member RAS oncogene family
P51149	P51149	7879	RAB7A	RAB7A, member RAS oncogene family
P51151	P51151	9367	RAB9A	RAB9A, member RAS oncogene family
P51153	P51153	5872	RAB13	RAB13, member RAS oncogene family
P51157	P51157	9364	RAB28	RAB28, member RAS oncogene family
P51159	P51159	5873	RAB27A	RAB27A, member RAS oncogene family
P51397	P51397	1611	DAP	death associated protein
P51398	P51398	7818	DAP3	death associated protein 3
P51451	P51451	640	BLK	BLK proto-oncogene, Src family tyrosine kinase
P51452	P51452	1845	DUSP3	dual specificity phosphatase 3
P51531	P51531	6595	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
P51532	P51532	6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
P51553	P51553	3421	IDH3G	isocitrate dehydrogenase 3 (NAD(+)) gamma
P51570	P51570	2584	GALK1	galactokinase 1
P51571	P51571	6748	SSR4	signal sequence receptor subunit 4
P51572	P51572	10134	BCAP31	B-cell receptor associated protein 31
P51580	P51580	7172	TPMT	thiopurine S-methyltransferase
P51606	P51606	5973	RENBP	renin binding protein
P51608	P51608	4204	MECP2	methyl-CpG binding protein 2
P51610	P51610	3054	HCFC1	host cell factor C1
P51617	P51617	3654	IRAK1	interleukin 1 receptor associated kinase 1
P51648	P51648	224	ALDH3A2	aldehyde dehydrogenase 3 family member A2
P51649	P51649	7915	ALDH5A1	aldehyde dehydrogenase 5 family member A1
P51659	P51659	3295	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4
P51665	P51665	5713	PSMD7	proteasome 26S subunit, non-ATPase 7
P51688	P51688	6448	SGSH	N-sulfoglucosamine sulfohydrolase
P51692	P51692	6777	STAT5B	signal transducer and activator of transcription 5B
P51784	P51784	8237	USP11	ubiquitin specific peptidase 11
P51798	P51798	1186	CLCN7	chloride voltage-gated channel 7
P51809	P51809	6845	VAMP7	vesicle associated membrane protein 7
P51812	P51812	6197	RPS6KA3	ribosomal protein S6 kinase A3
P51858	P51858	3068	HDGF	heparin binding growth factor
P51884	P51884	4060	LUM	lumican
P51946	P51946	902	CCNH	cyclin H
P51948	P51948	4331	MNAT1	MNAT1, CDK activating kinase assembly factor
P51957	P51957	6787	NEK4	NIMA related kinase 4
P51970	P51970	4702	NDUFA8	"NADH:ubiquinone oxidoreductase subunit A8"
P51991	P51991	220988	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3
P52209	P52209	5226	PGD	phosphogluconate dehydrogenase
P52272	P52272	4670	HNRNPM	heterogeneous nuclear ribonucleoprotein M
P52292	P52292	3838	KPNA2	karyopherin subunit alpha 2
P52294	P52294	3836	KPNA1	karyopherin subunit alpha 1
P52298	P52298	22916	NCBP2	nuclear cap binding protein subunit 2
P52306	P52306	5910	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1
P52333	P52333	3718	JAK3	Janus kinase 3
P52429	P52429	8526	DGKE	diacylglycerol kinase epsilon
P52434	P52434	5437	POLR2H	RNA polymerase II subunit H
P52564	P52564	5608	MAP2K6	mitogen-activated protein kinase kinase 6
P52565	P52565	396	ARHGDIA	Rho GDP dissociation inhibitor alpha
P52566	P52566	397	ARHGDIB	Rho GDP dissociation inhibitor beta
P52594	P52594	3267	AGFG1	ArfGAP with FG repeats 1
P52597	P52597	3185	HNRNPF	heterogeneous nuclear ribonucleoprotein F
P52630	P52630	6773	STAT2	signal transducer and activator of transcription 2
P52655	P52655	2957	GTF2A1	general transcription factor IIA subunit 1
P52657	P52657	2958	GTF2A2	general transcription factor IIA subunit 2
P52701	P52701	2956	MSH6	mutS homolog 6
P52732	P52732	3832	KIF11	kinesin family member 11
P52735	P52735	7410	VAV2	vav guanine nucleotide exchange factor 2
P52740	P52740	7691	ZNF132	zinc finger protein 132
P52747	P52747	7702	ZNF143	zinc finger protein 143
P52756	P52756	10181	RBM5	RNA binding motif protein 5
P52758	P52758	10247	RIDA	reactive intermediate imine deaminase A homolog
P52788	P52788	6611	SMS	spermine synthase
P52789	P52789	3099	HK2	hexokinase 2
P52815	P52815	6182	MRPL12	mitochondrial ribosomal protein L12
P52888	P52888	7064	THOP1	thimet oligopeptidase 1
P52907	P52907	829	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1
P52926	P52926	8091	HMGA2	high mobility group AT-hook 2
P52948	P52948	4928	NUP98	nucleoporin 98
P53004	P53004	644	BLVRA	biliverdin reductase A
P53007	P53007	6576	SLC25A1	solute carrier family 25 member 1
P53041	P53041	5536	PPP5C	protein phosphatase 5 catalytic subunit
P53350	P53350	5347	PLK1	polo like kinase 1
P53355	P53355	1612	DAPK1	death associated protein kinase 1
P53365	P53365	23647	ARFIP2	ADP ribosylation factor interacting protein 2
P53367	P53367	27236	ARFIP1	ADP ribosylation factor interacting protein 1
P53384	P53384	4682	NUBP1	nucleotide binding protein 1
P53396	P53396	47	ACLY	ATP citrate lyase
P53582	P53582	23173	METAP1	methionyl aminopeptidase 1
P53597	P53597	8802	SUCLG1	succinate-CoA ligase alpha subunit
P53602	P53602	4597	MVD	mevalonate diphosphate decarboxylase
P53609	P53609	5229	PGGT1B	protein geranylgeranyltransferase type I subunit beta
P53611	P53611	5876	RABGGTB	Rab geranylgeranyltransferase beta subunit
P53618	P53618	1315	COPB1	coatomer protein complex subunit beta 1
P53621	P53621	1314	COPA	coatomer protein complex subunit alpha
P53634	P53634	1075	CTSC	cathepsin C
P53667	P53667	3984	LIMK1	LIM domain kinase 1
P53677	P53677	10947	AP3M2	adaptor related protein complex 3 mu 2 subunit
P53680	P53680	1175	AP2S1	adaptor related protein complex 2 sigma 1 subunit
P53701	P53701	3052	HCCS	holocytochrome c synthase
P53778	P53778	6300	MAPK12	mitogen-activated protein kinase 12
P53794	P53794	NA	NA	NA
P53801	P53801	754	PTTG1IP	PTTG1 interacting protein
P53985	P53985	6566	SLC16A1	solute carrier family 16 member 1
P53990	P53990	9798	IST1	IST1, ESCRT-III associated factor
P53992	P53992	9632	SEC24C	SEC24 homolog C, COPII coat complex component
P53999	P53999	10923	SUB1	SUB1 homolog, transcriptional regulator
P54098	P54098	5428	POLG	DNA polymerase gamma, catalytic subunit
P54105	P54105	1207	CLNS1A	chloride nucleotide-sensitive channel 1A
P54132	P54132	641	BLM	Bloom syndrome RecQ like helicase
P54136	P54136	5917	RARS	arginyl-tRNA synthetase
P54198	P54198	7290	HIRA	histone cell cycle regulator
P54252	P54252	4287	ATXN3	ataxin 3
P54277	P54277	5378	PMS1	PMS1 homolog 1, mismatch repair system component
P54278	P54278	5395	PMS2	PMS1 homolog 2, mismatch repair system component
P54577	P54577	8565	YARS	tyrosyl-tRNA synthetase
P54578	P54578	9097	USP14	ubiquitin specific peptidase 14
P54619	P54619	5571	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1
P54687	P54687	586	BCAT1	branched chain amino acid transaminase 1
P54709	P54709	483	ATP1B3	ATPase Na+/K+ transporting subunit beta 3
P54725	P54725	5886	RAD23A	RAD23 homolog A, nucleotide excision repair protein
P54727	P54727	5887	RAD23B	RAD23 homolog B, nucleotide excision repair protein
P54802	P54802	4669	"NAGLU"	N-acetyl-alpha-glucosaminidase
P54819	P54819	204	AK2	adenylate kinase 2
P54886	P54886	5832	ALDH18A1	aldehyde dehydrogenase 18 family member A1
P54920	P54920	8775	"NAPA"	NSF attachment protein alpha
P54922	P54922	141	ADPRH	ADP-ribosylarginine hydrolase
P55010	P55010	1983	EIF5	eukaryotic translation initiation factor 5
P55011	P55011	6558	SLC12A2	solute carrier family 12 member 2
P55036	P55036	5710	PSMD4	proteasome 26S subunit, non-ATPase 4
P55039	P55039	1819	DRG2	developmentally regulated GTP binding protein 2
P55060	P55060	1434	CSE1L	chromosome segregation 1 like
P55061	P55061	7009	TMBIM6	transmembrane BAX inhibitor motif containing 6
P55072	P55072	7415	VCP	valosin containing protein
P55081	P55081	4236	MFAP1	microfibril associated protein 1
P55084	P55084	3032	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
P55145	P55145	7873	MANF	mesencephalic astrocyte derived neurotrophic factor
P55160	P55160	3071	NCKAP1L	NCK associated protein 1 like
P55196	P55196	4301	AFDN	afadin, adherens junction formation factor
P55199	P55199	8178	ELL	elongation factor for RNA polymerase II
P55201	P55201	7862	BRPF1	bromodomain and PHD finger containing 1
P55209	P55209	4673	"NAP1L1"	nucleosome assembly protein 1 like 1
P55210	P55210	840	CASP7	caspase 7
P55211	P55211	842	CASP9	caspase 9
P55212	P55212	839	CASP6	caspase 6
P55263	P55263	132	ADK	adenosine kinase
P55265	P55265	103	ADAR	adenosine deaminase, RNA specific
P55327	P55327	7163	TPD52	tumor protein D52
P55735	P55735	6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component
P55769	P55769	4809	SNU13	small nuclear ribonucleoprotein 13
P55786	P55786	9520	NPEPPS	aminopeptidase puromycin sensitive
P55789	P55789	2671	GFER	growth factor, augmenter of liver regeneration
P55795	P55795	3188	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2
P55809	P55809	5019	OXCT1	3-oxoacid CoA-transferase 1
P55854	P55854	6612	SUMO3	small ubiquitin-like modifier 3
P55884	P55884	8662	EIF3B	eukaryotic translation initiation factor 3 subunit B
P56134	P56134	9551	ATP5J2	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2
P56181	P56181	4731	NDUFV3	"NADH:ubiquinone oxidoreductase subunit V3"
P56182	P56182	8568	RRP1	ribosomal RNA processing 1
P56192	P56192	4141	MARS	methionyl-tRNA synthetase
P56199	P56199	3672	ITGA1	integrin subunit alpha 1
P56211	P56211	10776	ARPP19	cAMP regulated phosphoprotein 19
P56270	P56270	4150	MAZ	MYC associated zinc finger protein
P56277	P56277	100272147	CMC4	C-X9-C motif containing 4
P56279	P56279	8115	TCL1A	T-cell leukemia/lymphoma 1A
P56377	P56377	8905	AP1S2	adaptor related protein complex 1 sigma 2 subunit
P56378	P56378	9556	C14orf2	chromosome 14 open reading frame 2
P56385	P56385	521	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex subunit E
P56537	P56537	3692	EIF6	eukaryotic translation initiation factor 6
P56556	P56556	4700	NDUFA6	"NADH:ubiquinone oxidoreductase subunit A6"
P56589	P56589	8504	PEX3	peroxisomal biogenesis factor 3
P56937	P56937	51478	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7
P56945	P56945	9564	BCAR1	BCAR1, Cas family scaffolding protein
P56962	P56962	55014	STX17	syntaxin 17
P57076	P57076	56683	C21orf59	chromosome 21 open reading frame 59
P57081	P57081	10785	WDR4	WD repeat domain 4
P57088	P57088	55161	TMEM33	transmembrane protein 33
P57105	P57105	55333	SYNJ2BP	synaptojanin 2 binding protein
P57678	P57678	50628	GEMIN4	gem nuclear organelle associated protein 4
P57721	P57721	54039	PCBP3	poly(rC) binding protein 3
P57737	P57737	79585	CORO7	coronin 7
P57740	P57740	57122	NUP107	nucleoporin 107
P57764	P57764	79792	GSDMD	gasdermin D
P57772	P57772	60678	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific
P58004	P58004	83667	SESN2	sestrin 2
P58546	P58546	136319	MTPN	myotrophin
P58557	P58557	54059	YBEY	ybeY metallopeptidase (putative)
P59768	P59768	54331	GNG2	G protein subunit gamma 2
P59998	P59998	10093	ARPC4	actin related protein 2/3 complex subunit 4
P60033	P60033	975	CD81	CD81 molecule
P60174	P60174	7167	TPI1	triosephosphate isomerase 1
P60228	P60228	3646	EIF3E	eukaryotic translation initiation factor 3 subunit E
P60468	P60468	10952	SEC61B	Sec61 translocon beta subunit
P60484	P60484	5728	PTEN	phosphatase and tensin homolog
P60510	P60510	5531	PPP4C	protein phosphatase 4 catalytic subunit
P60520	P60520	11345	GABARAPL2	GABA type A receptor associated protein like 2
P60660	P60660	4637	MYL6	myosin light chain 6
P60842	P60842	1973	EIF4A1	eukaryotic translation initiation factor 4A1
P60866	P60866	6224	RPS20	ribosomal protein S20
P60891	P60891	5631	PRPS1	phosphoribosyl pyrophosphate synthetase 1
P60900	P60900	5687	PSMA6	proteasome subunit alpha 6
P60953	P60953	998	CDC42	cell division cycle 42
P60981	P60981	11034	DSTN	destrin, actin depolymerizing factor
P60983	P60983	2764	GMFB	glia maturation factor beta
P61006	P61006	4218	RAB8A	RAB8A, member RAS oncogene family
P61009	P61009	60559	SPCS3	signal peptidase complex subunit 3
P61011	P61011	6729	SRP54	signal recognition particle 54
P61018	P61018	53916	RAB4B	RAB4B, member RAS oncogene family
P61019	P61019	5862	RAB2A	RAB2A, member RAS oncogene family
P61020	P61020	5869	RAB5B	RAB5B, member RAS oncogene family
P61024	P61024	1163	CKS1B	CDC28 protein kinase regulatory subunit 1B
P61026	P61026	10890	RAB10	RAB10, member RAS oncogene family
P61081	P61081	9040	UBE2M	ubiquitin conjugating enzyme E2 M
P61086	P61086	3093	UBE2K	ubiquitin conjugating enzyme E2 K
P61088	P61088	7334	UBE2N	ubiquitin conjugating enzyme E2 N
P61106	P61106	51552	RAB14	RAB14, member RAS oncogene family
P61158	P61158	10096	ACTR3	ARP3 actin related protein 3 homolog
P61160	P61160	10097	ACTR2	ARP2 actin related protein 2 homolog
P61163	P61163	10121	ACTR1A	ARP1 actin related protein 1 homolog A
P61165	P61165	746	TMEM258	transmembrane protein 258
P61201	P61201	9318	COPS2	COP9 signalosome subunit 2
P61218	P61218	5435	POLR2F	RNA polymerase II subunit F
P61221	P61221	6059	ABCE1	ATP binding cassette subfamily E member 1
P61224	P61224	5908	RAP1B	RAP1B, member of RAS oncogene family
P61225	P61225	5912	RAP2B	RAP2B, member of RAS oncogene family
P61244	P61244	4149	MAX	MYC associated factor X
P61247	P61247	6189	RPS3A	ribosomal protein S3A
P61254	P61254	6154	RPL26	ribosomal protein L26
P61289	P61289	10197	PSME3	proteasome activator subunit 3
P61313	P61313	6138	RPL15	ribosomal protein L15
P61353	P61353	6155	RPL27	ribosomal protein L27
P61421	P61421	9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1
P61457	P61457	5092	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1
P61513	P61513	6168	RPL37A	ribosomal protein L37a
P61586	P61586	387	RHOA	ras homolog family member A
P61599	P61599	51126	"NAA20"	N(alpha)-acetyltransferase 20, NatB catalytic subunit
P61601	P61601	83988	NCALD	neurocalcin delta
P61604	P61604	3336	HSPE1	heat shock protein family E (Hsp10) member 1
P61619	P61619	29927	SEC61A1	Sec61 translocon alpha 1 subunit
P61758	P61758	7411	VBP1	VHL binding protein 1
P61803	P61803	1603	DAD1	defender against cell death 1
P61916	P61916	10577	NPC2	NPC intracellular cholesterol transporter 2
P61923	P61923	22818	COPZ1	coatomer protein complex subunit zeta 1
P61927	P61927	6167	RPL37	ribosomal protein L37
P61956	P61956	6613	SUMO2	small ubiquitin-like modifier 2
P61960	P61960	51569	UFM1	ubiquitin fold modifier 1
P61962	P61962	10238	DCAF7	DDB1 and CUL4 associated factor 7
P61964	P61964	11091	WDR5	WD repeat domain 5
P61966	P61966	1174	AP1S1	adaptor related protein complex 1 sigma 1 subunit
P61970	P61970	10204	NUTF2	nuclear transport factor 2
P61978	P61978	3190	HNRNPK	heterogeneous nuclear ribonucleoprotein K
P61981	P61981	7532	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
P62070	P62070	22800	RRAS2	RAS related 2
P62072	P62072	26519	TIMM10	translocase of inner mitochondrial membrane 10
P62081	P62081	6201	RPS7	ribosomal protein S7
P62136	P62136	5499	PPP1CA	protein phosphatase 1 catalytic subunit alpha
P62140	P62140	5500	PPP1CB	protein phosphatase 1 catalytic subunit beta
P62158	P62158	NA	NA	NA
P62191	P62191	5700	PSMC1	proteasome 26S subunit, ATPase 1
P62195	P62195	5705	PSMC5	proteasome 26S subunit, ATPase 5
P62241	P62241	6202	RPS8	ribosomal protein S8
P62244	P62244	6210	RPS15A	ribosomal protein S15a
P62249	P62249	6217	RPS16	ribosomal protein S16
P62253	P62253	7326	UBE2G1	ubiquitin conjugating enzyme E2 G1
P62256	P62256	7328	UBE2H	ubiquitin conjugating enzyme E2 H
P62258	P62258	7531	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
P62263	P62263	6208	RPS14	ribosomal protein S14
P62266	P62266	6228	RPS23	ribosomal protein S23
P62269	P62269	6222	RPS18	ribosomal protein S18
P62273	P62273	6235	RPS29	ribosomal protein S29
P62277	P62277	6207	RPS13	ribosomal protein S13
P62280	P62280	6205	RPS11	ribosomal protein S11
P62304	P62304	6635	SNRPE	small nuclear ribonucleoprotein polypeptide E
P62306	P62306	6636	SNRPF	small nuclear ribonucleoprotein polypeptide F
P62310	P62310	27258	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated
P62312	P62312	11157	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
P62314	P62314	6632	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide
P62316	P62316	6633	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide
P62318	P62318	6634	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide
P62330	P62330	382	ARF6	ADP ribosylation factor 6
P62333	P62333	5706	PSMC6	proteasome 26S subunit, ATPase 6
P62341	P62341	51714	SELENOT	selenoprotein T
P62380	P62380	9519	TBPL1	TATA-box binding protein like 1
P62424	P62424	6130	RPL7A	ribosomal protein L7a
P62487	P62487	5436	POLR2G	RNA polymerase II subunit G
P62491	P62491	8766	RAB11A	RAB11A, member RAS oncogene family
P62495	P62495	2107	ETF1	eukaryotic translation termination factor 1
P62633	P62633	7555	CNBP	CCHC-type zinc finger nucleic acid binding protein
P62701	P62701	6191	RPS4X	ribosomal protein S4, X-linked
P62714	P62714	5516	PPP2CB	protein phosphatase 2 catalytic subunit beta
P62750	P62750	6147	RPL23A	ribosomal protein L23a
P62753	P62753	6194	RPS6	ribosomal protein S6
P62805	P62805	8294	HIST1H4I	histone cluster 1 H4 family member i
P62820	P62820	5861	RAB1A	RAB1A, member RAS oncogene family
P62826	P62826	5901	RAN	RAN, member RAS oncogene family
P62829	P62829	9349	RPL23	ribosomal protein L23
P62834	P62834	5906	RAP1A	RAP1A, member of RAS oncogene family
P62841	P62841	6209	RPS15	ribosomal protein S15
P62847	P62847	6229	RPS24	ribosomal protein S24
P62851	P62851	6230	RPS25	ribosomal protein S25
P62854	P62854	6231	RPS26	ribosomal protein S26
P62857	P62857	6234	RPS28	ribosomal protein S28
P62861	P62861	NA	NA	NA
P62873	P62873	2782	GNB1	G protein subunit beta 1
P62875	P62875	5441	POLR2L	RNA polymerase II subunit L
P62877	P62877	9978	RBX1	ring-box 1
P62879	P62879	2783	GNB2	G protein subunit beta 2
P62888	P62888	6156	RPL30	ribosomal protein L30
P62899	P62899	6160	RPL31	ribosomal protein L31
P62906	P62906	4736	RPL10A	ribosomal protein L10a
P62910	P62910	6161	RPL32	ribosomal protein L32
P62913	P62913	6135	RPL11	ribosomal protein L11
P62917	P62917	6132	RPL8	ribosomal protein L8
P62942	P62942	2280	FKBP1A	FK506 binding protein 1A
P62987	P62987	7311	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
P62993	P62993	2885	GRB2	growth factor receptor bound protein 2
P62995	P62995	6434	TRA2B	transformer 2 beta homolog
P63000	P63000	5879	RAC1	Rac family small GTPase 1
P63010	P63010	163	AP2B1	adaptor related protein complex 2 beta 1 subunit
P63027	P63027	6844	VAMP2	vesicle associated membrane protein 2
P63098	P63098	5534	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha
P63104	P63104	7534	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
P63151	P63151	5520	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha
P63167	P63167	8655	DYNLL1	dynein light chain LC8-type 1
P63172	P63172	6993	DYNLT1	dynein light chain Tctex-type 1
P63173	P63173	6169	RPL38	ribosomal protein L38
P63208	P63208	6500	SKP1	S-phase kinase associated protein 1
P63218	P63218	2787	GNG5	G protein subunit gamma 5
P63220	P63220	6227	RPS21	ribosomal protein S21
P63241	P63241	1984	EIF5A	eukaryotic translation initiation factor 5A
P63244	P63244	10399	RACK1	receptor for activated C kinase 1
P63272	P63272	6827	SUPT4H1	SPT4 homolog, DSIF elongation factor subunit
P67775	P67775	5515	PPP2CA	protein phosphatase 2 catalytic subunit alpha
P67809	P67809	4904	YBX1	Y-box binding protein 1
P67812	P67812	23478	SEC11A	SEC11 homolog A, signal peptidase complex subunit
P67870	P67870	1460	CSNK2B	casein kinase 2 beta
P67936	P67936	7171	TPM4	tropomyosin 4
P68032	P68032	70	ACTC1	actin, alpha, cardiac muscle 1
P68036	P68036	7332	UBE2L3	ubiquitin conjugating enzyme E2 L3
P68104	P68104	1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
P68363	P68363	10376	TUBA1B	tubulin alpha 1b
P68366	P68366	7277	TUBA4A	tubulin alpha 4a
P68371	P68371	10383	TUBB4B	tubulin beta 4B class IVb
P68400	P68400	1457	CSNK2A1	casein kinase 2 alpha 1
P68402	P68402	5049	PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2
P78316	P78316	8602	NOP14	NOP14 nucleolar protein
P78317	P78317	6047	RNF4	ring finger protein 4
P78318	P78318	3476	IGBP1	immunoglobulin binding protein 1
P78324	P78324	140885	SIRPA	signal regulatory protein alpha
P78325	P78325	101	ADAM8	ADAM metallopeptidase domain 8
P78330	P78330	5723	PSPH	phosphoserine phosphatase
P78332	P78332	10180	RBM6	RNA binding motif protein 6
P78344	P78344	1982	EIF4G2	eukaryotic translation initiation factor 4 gamma 2
P78345	P78345	10557	RPP38	ribonuclease P/MRP subunit p38
P78346	P78346	10556	RPP30	ribonuclease P/MRP subunit p30
P78347	P78347	2969	GTF2I	general transcription factor IIi
P78356	P78356	8396	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
P78357	P78357	8506	CNTNAP1	contactin associated protein 1
P78362	P78362	6733	SRPK2	SRSF protein kinase 2
P78371	P78371	10576	CCT2	chaperonin containing TCP1 subunit 2
P78381	P78381	7355	SLC35A2	solute carrier family 35 member A2
P78406	P78406	8480	RAE1	ribonucleic acid export 1
P78410	P78410	11118	BTN3A2	butyrophilin subfamily 3 member A2
P78417	P78417	9446	GSTO1	glutathione S-transferase omega 1
P78527	P78527	5591	PRKDC	protein kinase, DNA-activated, catalytic polypeptide
P78536	P78536	6868	ADAM17	ADAM metallopeptidase domain 17
P78537	P78537	2647	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1
P78539	P78539	8406	SRPX	sushi repeat containing protein, X-linked
P78560	P78560	8738	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain
P79483	P79483	3125	HLA-DRB3	major histocompatibility complex, class II, DR beta 3
P80217	P80217	3430	IFI35	interferon induced protein 35
P80303	P80303	4925	NUCB2	nucleobindin 2
P80404	P80404	18	ABAT	4-aminobutyrate aminotransferase
P80723	P80723	10409	BASP1	brain abundant membrane attached signal protein 1
P81877	P81877	23635	SSBP2	single stranded DNA binding protein 2
P82094	P82094	7110	TMF1	TATA element modulatory factor 1
P82650	P82650	56945	MRPS22	mitochondrial ribosomal protein S22
P82663	P82663	64432	MRPS25	mitochondrial ribosomal protein S25
P82664	P82664	55173	MRPS10	mitochondrial ribosomal protein S10
P82673	P82673	60488	MRPS35	mitochondrial ribosomal protein S35
P82675	P82675	64969	MRPS5	mitochondrial ribosomal protein S5
P82909	P82909	92259	MRPS36	mitochondrial ribosomal protein S36
P82912	P82912	64963	MRPS11	mitochondrial ribosomal protein S11
P82914	P82914	64960	MRPS15	mitochondrial ribosomal protein S15
P82921	P82921	54460	MRPS21	mitochondrial ribosomal protein S21
P82930	P82930	65993	MRPS34	mitochondrial ribosomal protein S34
P82932	P82932	64968	MRPS6	mitochondrial ribosomal protein S6
P82933	P82933	64965	MRPS9	mitochondrial ribosomal protein S9
P82970	P82970	79366	HMGN5	high mobility group nucleosome binding domain 5
P82979	P82979	84324	SARNP	SAP domain containing ribonucleoprotein
P83111	P83111	114294	LACTB	lactamase beta
